index,xnand2_size,xnor2_size,buffer_0_size,buffer_1_size,tplh,tphl,tp,temper,alter#
264,2.0,2.0,5.0,30.0,-9.61e-10,1.038e-09,3.837e-11,25.0,1
265,2.0,2.0,5.0,33.0,-9.607e-10,1.038e-09,3.8770000000000005e-11,25.0,1
266,2.0,2.0,5.0,36.0,-9.602e-10,1.039e-09,3.92e-11,25.0,1
267,2.0,2.0,6.0,18.0,-9.607e-10,1.037e-09,3.801e-11,25.0,1
268,2.0,2.0,6.0,21.0,-9.612000000000002e-10,1.037e-09,3.772e-11,25.0,1
269,2.0,2.0,6.0,24.0,-9.613e-10,1.037e-09,3.7689999999999995e-11,25.0,1
270,2.0,2.0,6.0,27.0,-9.612000000000002e-10,1.037e-09,3.781e-11,25.0,1
271,2.0,2.0,6.0,30.0,-9.611e-10,1.037e-09,3.803e-11,25.0,1
272,2.0,2.0,6.0,33.0,-9.608e-10,1.037e-09,3.8319999999999997e-11,25.0,1
273,2.0,2.0,6.0,36.0,-9.605e-10,1.038e-09,3.866e-11,25.0,1
274,2.0,2.0,7.0,18.0,-9.602e-10,1.037e-09,3.833e-11,25.0,1
275,2.0,2.0,7.0,21.0,-9.607e-10,1.037e-09,3.7939999999999994e-11,25.0,1
276,2.0,2.0,7.0,24.0,-9.608999999999999e-10,1.037e-09,3.7820000000000005e-11,25.0,1
277,2.0,2.0,7.0,27.0,-9.608999999999999e-10,1.037e-09,3.7850000000000004e-11,25.0,1
278,2.0,2.0,7.0,30.0,-9.608e-10,1.037e-09,3.801e-11,25.0,1
279,2.0,2.0,7.0,33.0,-9.606e-10,1.037e-09,3.8229999999999994e-11,25.0,1
280,2.0,2.0,7.0,36.0,-9.602999999999999e-10,1.037e-09,3.85e-11,25.0,1
281,2.0,2.0,8.0,18.0,-9.594999999999998e-10,1.037e-09,3.875e-11,25.0,1
282,2.0,2.0,8.0,21.0,-9.601e-10,1.037e-09,3.83e-11,25.0,1
