index,sn_nand2,sp_nand2,sn_nor2,sp_nor2,sn_buffer_0,sp_buffer_0,sn_buffer_1,sp_buffer_1,sn_buffer_2,sp_buffer_2,sn_buffer_3,sp_buffer_3,tplh,tphl,tp,temper,alter#
82,1.0,1.0,2.0,4.0,1.0,1.0,4.0,4.0,12.0,12.0,40.0,40.0,4.747e-11,4.234e-11,4.491e-11,25.0,1
83,1.0,1.0,2.0,4.0,1.0,1.0,4.0,4.0,12.0,12.0,42.0,42.0,4.753e-11,4.244e-11,4.498e-11,25.0,1
84,1.0,1.0,2.0,4.0,1.0,1.0,4.0,4.0,12.0,12.0,44.0,44.0,4.76e-11,4.252e-11,4.506e-11,25.0,1
85,1.0,1.0,2.0,4.0,1.0,1.0,4.0,4.0,14.0,14.0,40.0,40.0,4.76e-11,4.236e-11,4.498e-11,25.0,1
86,1.0,1.0,2.0,4.0,1.0,1.0,4.0,4.0,14.0,14.0,42.0,42.0,4.762e-11,4.241e-11,4.502e-11,25.0,1
87,1.0,1.0,2.0,4.0,1.0,1.0,4.0,4.0,14.0,14.0,44.0,44.0,4.768e-11,4.25e-11,4.509e-11,25.0,1
88,1.0,1.0,2.0,4.0,1.0,1.0,4.0,4.0,16.0,16.0,40.0,40.0,4.784e-11,4.253e-11,4.518e-11,25.0,1
89,1.0,1.0,2.0,4.0,1.0,1.0,4.0,4.0,16.0,16.0,42.0,42.0,4.787e-11,4.256e-11,4.521e-11,25.0,1
90,1.0,1.0,2.0,4.0,1.0,1.0,4.0,4.0,16.0,16.0,44.0,44.0,4.788e-11,4.26e-11,4.524e-11,25.0,1
91,1.0,1.0,2.0,4.0,1.0,1.0,5.0,5.0,12.0,12.0,40.0,40.0,4.785e-11,4.291e-11,4.538e-11,25.0,1
92,1.0,1.0,2.0,4.0,1.0,1.0,5.0,5.0,12.0,12.0,42.0,42.0,4.79e-11,4.298e-11,4.544e-11,25.0,1
93,1.0,1.0,2.0,4.0,1.0,1.0,5.0,5.0,12.0,12.0,44.0,44.0,4.795e-11,4.308e-11,4.551e-11,25.0,1
94,1.0,1.0,2.0,4.0,1.0,1.0,5.0,5.0,14.0,14.0,40.0,40.0,4.785e-11,4.281e-11,4.533e-11,25.0,1
95,1.0,1.0,2.0,4.0,1.0,1.0,5.0,5.0,14.0,14.0,42.0,42.0,4.788e-11,4.288e-11,4.538e-11,25.0,1
96,1.0,1.0,2.0,4.0,1.0,1.0,5.0,5.0,14.0,14.0,44.0,44.0,4.791e-11,4.294e-11,4.542e-11,25.0,1
97,1.0,1.0,2.0,4.0,1.0,1.0,5.0,5.0,16.0,16.0,40.0,40.0,4.797e-11,4.287e-11,4.542e-11,25.0,1
