index,sn_nand2,sp_nand2,sn_nor2,sp_nor2,sn_buffer_0,sp_buffer_0,sn_buffer_1,sp_buffer_1,sn_buffer_2,sp_buffer_2,tplh,tphl,tp,temper,alter#
73,2.0,1.0,1.0,2.0,4.0,4.0,8.0,8.0,33.0,33.0,3.847e-11,3.598e-11,3.722e-11,25.0,1
74,2.0,1.0,1.0,2.0,4.0,4.0,8.0,8.0,35.0,35.0,3.853e-11,3.612e-11,3.733e-11,25.0,1
75,2.0,1.0,1.0,2.0,4.0,4.0,8.0,8.0,37.0,37.0,3.864e-11,3.627e-11,3.746e-11,25.0,1
76,2.0,1.0,1.0,2.0,4.0,4.0,10.0,10.0,33.0,33.0,3.819e-11,3.559e-11,3.689e-11,25.0,1
77,2.0,1.0,1.0,2.0,4.0,4.0,10.0,10.0,35.0,35.0,3.821e-11,3.566e-11,3.693e-11,25.0,1
78,2.0,1.0,1.0,2.0,4.0,4.0,10.0,10.0,37.0,37.0,3.825e-11,3.576e-11,3.701e-11,25.0,1
79,2.0,1.0,1.0,2.0,4.0,4.0,12.0,12.0,33.0,33.0,3.823e-11,3.552e-11,3.687e-11,25.0,1
80,2.0,1.0,1.0,2.0,4.0,4.0,12.0,12.0,35.0,35.0,3.823e-11,3.556e-11,3.689e-11,25.0,1
81,2.0,1.0,1.0,2.0,4.0,4.0,12.0,12.0,37.0,37.0,3.823e-11,3.562e-11,3.692e-11,25.0,1
82,2.0,1.0,2.0,4.0,2.0,2.0,8.0,8.0,33.0,33.0,4.219e-11,3.834e-11,4.027e-11,25.0,1
83,2.0,1.0,2.0,4.0,2.0,2.0,8.0,8.0,35.0,35.0,4.228e-11,3.848e-11,4.038e-11,25.0,1
84,2.0,1.0,2.0,4.0,2.0,2.0,8.0,8.0,37.0,37.0,4.239e-11,3.865e-11,4.052e-11,25.0,1
85,2.0,1.0,2.0,4.0,2.0,2.0,10.0,10.0,33.0,33.0,4.252e-11,3.848e-11,4.05e-11,25.0,1
86,2.0,1.0,2.0,4.0,2.0,2.0,10.0,10.0,35.0,35.0,4.257e-11,3.855e-11,4.056e-11,25.0,1
87,2.0,1.0,2.0,4.0,2.0,2.0,10.0,10.0,37.0,37.0,4.262e-11,3.865e-11,4.063e-11,25.0,1
88,2.0,1.0,2.0,4.0,2.0,2.0,12.0,12.0,33.0,33.0,4.316e-11,3.892e-11,4.104e-11,25.0,1
89,2.0,1.0,2.0,4.0,2.0,2.0,12.0,12.0,35.0,35.0,4.316e-11,3.899e-11,4.107e-11,25.0,1
90,2.0,1.0,2.0,4.0,2.0,2.0,12.0,12.0,37.0,37.0,4.32e-11,3.905e-11,4.112e-11,25.0,1
91,2.0,1.0,2.0,4.0,3.0,3.0,8.0,8.0,33.0,33.0,4.113e-11,3.738e-11,3.925e-11,25.0,1
92,2.0,1.0,2.0,4.0,3.0,3.0,8.0,8.0,35.0,35.0,4.12e-11,3.75e-11,3.935e-11,25.0,1
93,2.0,1.0,2.0,4.0,3.0,3.0,8.0,8.0,37.0,37.0,4.131e-11,3.766e-11,3.949e-11,25.0,1
94,2.0,1.0,2.0,4.0,3.0,3.0,10.0,10.0,33.0,33.0,4.102e-11,3.711e-11,3.906e-11,25.0,1
95,2.0,1.0,2.0,4.0,3.0,3.0,10.0,10.0,35.0,35.0,4.104e-11,3.719e-11,3.912e-11,25.0,1
96,2.0,1.0,2.0,4.0,3.0,3.0,10.0,10.0,37.0,37.0,4.111e-11,3.728e-11,3.92e-11,25.0,1
97,2.0,1.0,2.0,4.0,3.0,3.0,12.0,12.0,33.0,33.0,4.122e-11,3.719e-11,3.92e-11,25.0,1
98,2.0,1.0,2.0,4.0,3.0,3.0,12.0,12.0,35.0,35.0,4.122e-11,3.722e-11,3.922e-11,25.0,1
99,2.0,1.0,2.0,4.0,3.0,3.0,12.0,12.0,37.0,37.0,4.126e-11,3.728e-11,3.927e-11,25.0,1
100,2.0,1.0,2.0,4.0,4.0,4.0,8.0,8.0,33.0,33.0,4.097e-11,3.721e-11,3.909e-11,25.0,1
101,2.0,1.0,2.0,4.0,4.0,4.0,8.0,8.0,35.0,35.0,4.105e-11,3.735e-11,3.92e-11,25.0,1
102,2.0,1.0,2.0,4.0,4.0,4.0,8.0,8.0,37.0,37.0,4.116e-11,3.749e-11,3.933e-11,25.0,1
103,2.0,1.0,2.0,4.0,4.0,4.0,10.0,10.0,33.0,33.0,4.068e-11,3.674e-11,3.871e-11,25.0,1
104,2.0,1.0,2.0,4.0,4.0,4.0,10.0,10.0,35.0,35.0,4.069e-11,3.682e-11,3.876e-11,25.0,1
105,2.0,1.0,2.0,4.0,4.0,4.0,10.0,10.0,37.0,37.0,4.074e-11,3.692e-11,3.883e-11,25.0,1
106,2.0,1.0,2.0,4.0,4.0,4.0,12.0,12.0,33.0,33.0,4.066e-11,3.665e-11,3.866e-11,25.0,1
107,2.0,1.0,2.0,4.0,4.0,4.0,12.0,12.0,35.0,35.0,4.066e-11,3.669e-11,3.868e-11,25.0,1
108,2.0,1.0,2.0,4.0,4.0,4.0,12.0,12.0,37.0,37.0,4.067e-11,3.674e-11,3.87e-11,25.0,1
109,3.0,2.0,1.0,2.0,2.0,2.0,8.0,8.0,33.0,33.0,3.889e-11,3.86e-11,3.874e-11,25.0,1
110,3.0,2.0,1.0,2.0,2.0,2.0,8.0,8.0,35.0,35.0,3.901e-11,3.875e-11,3.888e-11,25.0,1
111,3.0,2.0,1.0,2.0,2.0,2.0,8.0,8.0,37.0,37.0,3.911e-11,3.891e-11,3.901e-11,25.0,1
112,3.0,2.0,1.0,2.0,2.0,2.0,10.0,10.0,33.0,33.0,3.925e-11,3.874e-11,3.899e-11,25.0,1
113,3.0,2.0,1.0,2.0,2.0,2.0,10.0,10.0,35.0,35.0,3.929e-11,3.885e-11,3.907e-11,25.0,1
114,3.0,2.0,1.0,2.0,2.0,2.0,10.0,10.0,37.0,37.0,3.935e-11,3.894e-11,3.915e-11,25.0,1
115,3.0,2.0,1.0,2.0,2.0,2.0,12.0,12.0,33.0,33.0,3.989e-11,3.921e-11,3.955e-11,25.0,1
116,3.0,2.0,1.0,2.0,2.0,2.0,12.0,12.0,35.0,35.0,3.99e-11,3.925e-11,3.957e-11,25.0,1
117,3.0,2.0,1.0,2.0,2.0,2.0,12.0,12.0,37.0,37.0,3.992e-11,3.933e-11,3.962e-11,25.0,1
118,3.0,2.0,1.0,2.0,3.0,3.0,8.0,8.0,33.0,33.0,3.827e-11,3.81e-11,3.818e-11,25.0,1
119,3.0,2.0,1.0,2.0,3.0,3.0,8.0,8.0,35.0,35.0,3.834e-11,3.824e-11,3.829e-11,25.0,1
120,3.0,2.0,1.0,2.0,3.0,3.0,8.0,8.0,37.0,37.0,3.846e-11,3.839e-11,3.842e-11,25.0,1
121,3.0,2.0,1.0,2.0,3.0,3.0,10.0,10.0,33.0,33.0,3.82e-11,3.789e-11,3.804e-11,25.0,1
122,3.0,2.0,1.0,2.0,3.0,3.0,10.0,10.0,35.0,35.0,3.822e-11,3.798e-11,3.81e-11,25.0,1
123,3.0,2.0,1.0,2.0,3.0,3.0,10.0,10.0,37.0,37.0,3.828e-11,3.807e-11,3.817e-11,25.0,1
