index,f2,f3,f4,f5,tplh1,tphl1,tp1,tplh2,tphl2,tp2,tplh3,tphl3,tp3,tplh4,tphl4,tp4,tplh5,tphl5,tp5,tp_total,temper,alter#
26,3,11,29,84,7.865E-12,6.929E-12,7.397E-12,6.341E-12,5.962E-12,6.152E-12,5.331E-12,5.077E-12,5.204E-12,5.244E-12,4.94E-12,5.092E-12,5.621E-12,5.245E-12,5.433E-12,2.928E-11,25,1
27,3,11,29,88,7.865E-12,6.926E-12,7.395E-12,6.343E-12,5.961E-12,6.152E-12,5.325E-12,5.076E-12,5.2E-12,5.386E-12,5.071E-12,5.228E-12,5.519E-12,5.171E-12,5.345E-12,2.932E-11,25,1
28,2,9,27,80,6.437E-12,5.573E-12,6.005E-12,6.741E-12,6.271E-12,6.506E-12,5.971E-12,5.739E-12,5.855E-12,5.533E-12,5.202E-12,5.368E-12,5.852E-12,5.441E-12,5.647E-12,2.938E-11,25,1
29,2,9,27,84,6.439E-12,5.573E-12,6.006E-12,6.741E-12,6.27E-12,6.505E-12,5.966E-12,5.738E-12,5.852E-12,5.686E-12,5.344E-12,5.515E-12,5.746E-12,5.363E-12,5.554E-12,2.943E-11,25,1
30,2,9,27,88,6.437E-12,5.573E-12,6.005E-12,6.741E-12,6.271E-12,6.506E-12,5.964E-12,5.736E-12,5.85E-12,5.838E-12,5.485E-12,5.661E-12,5.662E-12,5.297E-12,5.48E-12,2.95E-11,25,1
31,2,9,25,80,6.435E-12,5.573E-12,6.004E-12,6.748E-12,6.278E-12,6.513E-12,5.729E-12,5.508E-12,5.619E-12,5.68E-12,5.328E-12,5.504E-12,5.937E-12,5.538E-12,5.737E-12,2.938E-11,25,1
32,2,9,25,84,6.439E-12,5.567E-12,6.003E-12,6.747E-12,6.274E-12,6.51E-12,5.725E-12,5.507E-12,5.616E-12,5.838E-12,5.477E-12,5.658E-12,5.836E-12,5.457E-12,5.646E-12,2.943E-11,25,1
33,2,9,25,88,6.439E-12,5.573E-12,6.006E-12,6.748E-12,6.273E-12,6.511E-12,5.723E-12,5.505E-12,5.614E-12,6.006E-12,5.626E-12,5.816E-12,5.742E-12,5.387E-12,5.565E-12,2.951E-11,25,1
34,2,9,29,80,6.436E-12,5.573E-12,6.004E-12,6.735E-12,6.269E-12,6.502E-12,6.21E-12,5.969E-12,6.089E-12,5.413E-12,5.098E-12,5.256E-12,5.777E-12,5.372E-12,5.575E-12,2.943E-11,25,1
35,2,9,29,84,6.439E-12,5.57E-12,6.005E-12,6.73E-12,6.274E-12,6.502E-12,6.207E-12,5.967E-12,6.087E-12,5.555E-12,5.233E-12,5.394E-12,5.67E-12,5.28E-12,5.475E-12,2.946E-11,25,1
