index,xinvpa0_size,xnand2_size,xnor3_size,buffer_0_size,buffer_1_size,buffer_2_size,tplh,tphl,tp,temper,alter#
169,1.0,2.0,1.0,3.0,6.0,31.0,4.503e-11,5.456e-11,4.979e-11,25.0,1
170,1.0,2.0,1.0,3.0,6.0,34.0,4.476e-11,5.461e-11,4.968e-11,25.0,1
171,1.0,2.0,1.0,3.0,6.0,37.0,4.464e-11,5.477e-11,4.97e-11,25.0,1
172,1.0,2.0,1.0,3.0,6.0,40.0,4.464e-11,5.497e-11,4.981e-11,25.0,1
173,1.0,2.0,1.0,3.0,6.0,43.0,4.474e-11,5.524e-11,4.999e-11,25.0,1
174,1.0,2.0,1.0,3.0,6.0,46.0,4.489e-11,5.554e-11,5.022e-11,25.0,1
175,1.0,2.0,1.0,3.0,6.0,49.0,4.51e-11,5.588e-11,5.049e-11,25.0,1
176,1.0,2.0,1.0,3.0,8.0,31.0,4.432e-11,5.384e-11,4.908e-11,25.0,1
177,1.0,2.0,1.0,3.0,8.0,34.0,4.391e-11,5.374e-11,4.882e-11,25.0,1
178,1.0,2.0,1.0,3.0,8.0,37.0,4.365e-11,5.373e-11,4.869e-11,25.0,1
179,1.0,2.0,1.0,3.0,8.0,40.0,4.351e-11,5.38e-11,4.865e-11,25.0,1
180,1.0,2.0,1.0,3.0,8.0,43.0,4.347e-11,5.391e-11,4.869e-11,25.0,1
181,1.0,2.0,1.0,3.0,8.0,46.0,4.349e-11,5.407e-11,4.878e-11,25.0,1
182,1.0,2.0,1.0,3.0,8.0,49.0,4.357e-11,5.426e-11,4.892e-11,25.0,1
183,1.0,2.0,1.0,3.0,10.0,31.0,4.425e-11,5.381e-11,4.903e-11,25.0,1
184,1.0,2.0,1.0,3.0,10.0,34.0,4.375e-11,5.362e-11,4.869e-11,25.0,1
185,1.0,2.0,1.0,3.0,10.0,37.0,4.341e-11,5.352e-11,4.846e-11,25.0,1
186,1.0,2.0,1.0,3.0,10.0,40.0,4.319e-11,5.349e-11,4.834e-11,25.0,1
187,1.0,2.0,1.0,3.0,10.0,43.0,4.306e-11,5.352e-11,4.829e-11,25.0,1
