index,xinvpa0_size,xnand2_size,xnor3_size,buffer_0_size,buffer_1_size,buffer_2_size,tplh,tphl,tp,temper,alter#
239,3.0,4.0,2.0,4.0,13.0,48.0,8.347e-11,9.046e-11,8.696e-11,25.0,1
240,3.0,4.0,2.0,4.0,13.0,51.0,8.342e-11,9.051e-11,8.697e-11,25.0,1
241,3.0,4.0,2.0,4.0,13.0,54.0,8.342e-11,9.06e-11,8.701e-11,25.0,1
242,3.0,4.0,2.0,4.0,13.0,57.0,8.345e-11,9.068e-11,8.706e-11,25.0,1
243,3.0,4.0,2.0,4.0,13.0,60.0,8.35e-11,9.08e-11,8.715e-11,25.0,1
244,3.0,4.0,2.0,4.0,13.0,63.0,8.358e-11,9.091e-11,8.724e-11,25.0,1
245,3.0,4.0,2.0,4.0,13.0,66.0,8.367e-11,9.105e-11,8.736e-11,25.0,1
246,3.0,4.0,2.0,4.0,15.0,48.0,8.352e-11,9.054e-11,8.703e-11,25.0,1
247,3.0,4.0,2.0,4.0,15.0,51.0,8.345e-11,9.055e-11,8.7e-11,25.0,1
248,3.0,4.0,2.0,4.0,15.0,54.0,8.341e-11,9.059e-11,8.7e-11,25.0,1
249,3.0,4.0,2.0,4.0,15.0,57.0,8.341e-11,9.066e-11,8.703e-11,25.0,1
250,3.0,4.0,2.0,4.0,15.0,60.0,8.343e-11,9.072e-11,8.707e-11,25.0,1
251,3.0,4.0,2.0,4.0,15.0,63.0,8.347e-11,9.082e-11,8.714e-11,25.0,1
252,3.0,4.0,2.0,4.0,15.0,66.0,8.354e-11,9.092e-11,8.723e-11,25.0,1
253,3.0,5.0,1.0,2.0,11.0,48.0,6.238e-11,6.875e-11,6.556e-11,25.0,1
254,3.0,5.0,1.0,2.0,11.0,51.0,6.24e-11,6.886e-11,6.563e-11,25.0,1
255,3.0,5.0,1.0,2.0,11.0,54.0,6.245e-11,6.898e-11,6.572e-11,25.0,1
256,3.0,5.0,1.0,2.0,11.0,57.0,6.254e-11,6.913e-11,6.584e-11,25.0,1
257,3.0,5.0,1.0,2.0,11.0,60.0,6.265e-11,6.93e-11,6.598e-11,25.0,1
258,3.0,5.0,1.0,2.0,11.0,63.0,6.279e-11,6.947e-11,6.613e-11,25.0,1
259,3.0,5.0,1.0,2.0,11.0,66.0,6.294e-11,6.967e-11,6.63e-11,25.0,1
