index,sn_xinvpa0,sp_xinvpa0,sn_nand2,sp_nand2,sn_nor3,sp_nor3,sn_buffer_0,sp_buffer_0,sn_buffer_1,sp_buffer_1,sn_buffer_2,sp_buffer_2,sn_buffer_3,sp_buffer_3,tplh,tphl,tp,temper,alter#
130,3.0,3.0,4.0,2.0,2.0,6.0,1.0,1.0,6.0,6.0,20.0,20.0,75.0,75.0,1.416e-10,1.423e-10,1.419e-10,25.0,1
131,3.0,3.0,4.0,2.0,2.0,6.0,1.0,1.0,6.0,6.0,22.0,22.0,67.0,67.0,1.416e-10,1.421e-10,1.419e-10,25.0,1
132,3.0,3.0,4.0,2.0,2.0,6.0,1.0,1.0,6.0,6.0,22.0,22.0,69.0,69.0,1.416e-10,1.422e-10,1.419e-10,25.0,1
133,3.0,3.0,4.0,2.0,2.0,6.0,1.0,1.0,6.0,6.0,22.0,22.0,71.0,71.0,1.416e-10,1.422e-10,1.419e-10,25.0,1
134,3.0,3.0,4.0,2.0,2.0,6.0,1.0,1.0,6.0,6.0,22.0,22.0,73.0,73.0,1.416e-10,1.423e-10,1.42e-10,25.0,1
135,3.0,3.0,4.0,2.0,2.0,6.0,1.0,1.0,6.0,6.0,22.0,22.0,75.0,75.0,1.417e-10,1.423e-10,1.42e-10,25.0,1
136,3.0,3.0,4.0,2.0,2.0,6.0,2.0,2.0,4.0,4.0,18.0,18.0,67.0,67.0,1.389e-10,1.392e-10,1.39e-10,25.0,1
137,3.0,3.0,4.0,2.0,2.0,6.0,2.0,2.0,4.0,4.0,18.0,18.0,69.0,69.0,1.389e-10,1.393e-10,1.391e-10,25.0,1
138,3.0,3.0,4.0,2.0,2.0,6.0,2.0,2.0,4.0,4.0,18.0,18.0,71.0,71.0,1.389e-10,1.393e-10,1.391e-10,25.0,1
139,3.0,3.0,4.0,2.0,2.0,6.0,2.0,2.0,4.0,4.0,18.0,18.0,73.0,73.0,1.39e-10,1.394e-10,1.392e-10,25.0,1
