index,sn_xinvpa0,sp_xinvpa0,sn_nand2,sp_nand2,sn_nor3,sp_nor3,sn_buffer_0,sp_buffer_0,sn_buffer_1,sp_buffer_1,sn_buffer_2,sp_buffer_2,sn_buffer_3,sp_buffer_3,sn_buffer_4,sp_buffer_4,tplh,tphl,tp,temper,alter#
113,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,6.0,6.0,24.0,24.0,75.0,75.0,5.879e-11,4.899e-11,5.389e-11,25.0,1
114,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,6.0,6.0,24.0,24.0,79.0,79.0,5.883e-11,4.907e-11,5.395e-11,25.0,1
115,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,6.0,6.0,26.0,26.0,71.0,71.0,5.893e-11,4.903e-11,5.398e-11,25.0,1
116,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,6.0,6.0,26.0,26.0,75.0,75.0,5.894e-11,4.908e-11,5.401e-11,25.0,1
117,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,6.0,6.0,26.0,26.0,79.0,79.0,5.898e-11,4.915e-11,5.406e-11,25.0,1
118,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,7.0,7.0,22.0,22.0,71.0,71.0,5.85e-11,4.89e-11,5.37e-11,25.0,1
119,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,7.0,7.0,22.0,22.0,75.0,75.0,5.854e-11,4.898e-11,5.376e-11,25.0,1
120,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,7.0,7.0,22.0,22.0,79.0,79.0,5.859e-11,4.907e-11,5.383e-11,25.0,1
121,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,7.0,7.0,24.0,24.0,71.0,71.0,5.856e-11,4.89e-11,5.373e-11,25.0,1
122,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,7.0,7.0,24.0,24.0,75.0,75.0,5.859e-11,4.897e-11,5.378e-11,25.0,1
123,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,7.0,7.0,24.0,24.0,79.0,79.0,5.863e-11,4.904e-11,5.384e-11,25.0,1
124,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,7.0,7.0,26.0,26.0,71.0,71.0,5.868e-11,4.896e-11,5.382e-11,25.0,1
125,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,7.0,7.0,26.0,26.0,75.0,75.0,5.869e-11,4.901e-11,5.385e-11,25.0,1
126,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,7.0,7.0,26.0,26.0,79.0,79.0,5.871e-11,4.907e-11,5.389e-11,25.0,1
127,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,8.0,8.0,22.0,22.0,71.0,71.0,5.854e-11,4.907e-11,5.381e-11,25.0,1
128,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,8.0,8.0,22.0,22.0,75.0,75.0,5.857e-11,4.915e-11,5.386e-11,25.0,1
129,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,8.0,8.0,22.0,22.0,79.0,79.0,5.863e-11,4.925e-11,5.394e-11,25.0,1
130,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,8.0,8.0,24.0,24.0,71.0,71.0,5.857e-11,4.904e-11,5.38e-11,25.0,1
131,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,8.0,8.0,24.0,24.0,75.0,75.0,5.859e-11,4.91e-11,5.385e-11,25.0,1
132,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,8.0,8.0,24.0,24.0,79.0,79.0,5.862e-11,4.918e-11,5.39e-11,25.0,1
133,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,8.0,8.0,26.0,26.0,71.0,71.0,5.864e-11,4.906e-11,5.385e-11,25.0,1
134,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,8.0,8.0,26.0,26.0,75.0,75.0,5.864e-11,4.911e-11,5.387e-11,25.0,1
135,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,8.0,8.0,26.0,26.0,79.0,79.0,5.867e-11,4.917e-11,5.392e-11,25.0,1
136,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,6.0,6.0,22.0,22.0,71.0,71.0,5.812e-11,4.818e-11,5.315e-11,25.0,1
137,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,6.0,6.0,22.0,22.0,75.0,75.0,5.816e-11,4.827e-11,5.321e-11,25.0,1
138,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,6.0,6.0,22.0,22.0,79.0,79.0,5.822e-11,4.837e-11,5.329e-11,25.0,1
139,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,6.0,6.0,24.0,24.0,71.0,71.0,5.824e-11,4.823e-11,5.323e-11,25.0,1
140,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,6.0,6.0,24.0,24.0,75.0,75.0,5.826e-11,4.829e-11,5.328e-11,25.0,1
141,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,6.0,6.0,24.0,24.0,79.0,79.0,5.831e-11,4.838e-11,5.334e-11,25.0,1
142,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,6.0,6.0,26.0,26.0,71.0,71.0,5.84e-11,4.832e-11,5.336e-11,25.0,1
143,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,6.0,6.0,26.0,26.0,75.0,75.0,5.841e-11,4.837e-11,5.339e-11,25.0,1
