index,sn_xinvpa0,sp_xinvpa0,sn_nand2,sp_nand2,sn_nor3,sp_nor3,sn_buffer_0,sp_buffer_0,sn_buffer_1,sp_buffer_1,sn_buffer_2,sp_buffer_2,sn_buffer_3,sp_buffer_3,sn_buffer_4,sp_buffer_4,tplh,tphl,tp,temper,alter#
1193,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,3.0,3.0,6.0,6.0,24.0,24.0,75.0,75.0,6.097e-11,5.461e-11,5.779e-11,25.0,1
1194,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,3.0,3.0,6.0,6.0,24.0,24.0,79.0,79.0,6.102e-11,5.468e-11,5.785e-11,25.0,1
1195,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,3.0,3.0,6.0,6.0,26.0,26.0,71.0,71.0,6.111e-11,5.463e-11,5.787e-11,25.0,1
1196,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,3.0,3.0,6.0,6.0,26.0,26.0,75.0,75.0,6.113e-11,5.468e-11,5.79e-11,25.0,1
1197,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,3.0,3.0,6.0,6.0,26.0,26.0,79.0,79.0,6.115e-11,5.475e-11,5.795e-11,25.0,1
1198,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,3.0,3.0,7.0,7.0,22.0,22.0,71.0,71.0,6.053e-11,5.431e-11,5.742e-11,25.0,1
1199,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,3.0,3.0,7.0,7.0,22.0,22.0,75.0,75.0,6.056e-11,5.44e-11,5.748e-11,25.0,1
1200,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,3.0,3.0,7.0,7.0,22.0,22.0,79.0,79.0,6.062e-11,5.449e-11,5.756e-11,25.0,1
1201,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,3.0,3.0,7.0,7.0,24.0,24.0,71.0,71.0,6.059e-11,5.431e-11,5.745e-11,25.0,1
1202,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,3.0,3.0,7.0,7.0,24.0,24.0,75.0,75.0,6.061e-11,5.437e-11,5.749e-11,25.0,1
1203,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,3.0,3.0,7.0,7.0,24.0,24.0,79.0,79.0,6.065e-11,5.445e-11,5.755e-11,25.0,1
1204,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,3.0,3.0,7.0,7.0,26.0,26.0,71.0,71.0,6.069e-11,5.435e-11,5.752e-11,25.0,1
1205,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,3.0,3.0,7.0,7.0,26.0,26.0,75.0,75.0,6.07e-11,5.44e-11,5.755e-11,25.0,1
1206,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,3.0,3.0,7.0,7.0,26.0,26.0,79.0,79.0,6.072e-11,5.447e-11,5.76e-11,25.0,1
1207,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,3.0,3.0,8.0,8.0,22.0,22.0,71.0,71.0,6.041e-11,5.429e-11,5.735e-11,25.0,1
1208,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,3.0,3.0,8.0,8.0,22.0,22.0,75.0,75.0,6.044e-11,5.437e-11,5.74e-11,25.0,1
1209,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,3.0,3.0,8.0,8.0,22.0,22.0,79.0,79.0,6.049e-11,5.446e-11,5.748e-11,25.0,1
1210,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,3.0,3.0,8.0,8.0,24.0,24.0,71.0,71.0,6.042e-11,5.425e-11,5.733e-11,25.0,1
1211,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,3.0,3.0,8.0,8.0,24.0,24.0,75.0,75.0,6.044e-11,5.431e-11,5.738e-11,25.0,1
1212,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,3.0,3.0,8.0,8.0,24.0,24.0,79.0,79.0,6.048e-11,5.438e-11,5.743e-11,25.0,1
1213,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,3.0,3.0,8.0,8.0,26.0,26.0,71.0,71.0,6.049e-11,5.425e-11,5.737e-11,25.0,1
1214,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,3.0,3.0,8.0,8.0,26.0,26.0,75.0,75.0,6.048e-11,5.43e-11,5.739e-11,25.0,1
1215,2.0,2.0,3.0,2.0,2.0,6.0,1.0,1.0,3.0,3.0,8.0,8.0,26.0,26.0,79.0,79.0,6.051e-11,5.436e-11,5.744e-11,25.0,1
1216,2.0,2.0,3.0,2.0,2.0,6.0,2.0,2.0,1.0,1.0,6.0,6.0,22.0,22.0,71.0,71.0,6.308e-11,5.741e-11,6.024e-11,25.0,1
1217,2.0,2.0,3.0,2.0,2.0,6.0,2.0,2.0,1.0,1.0,6.0,6.0,22.0,22.0,75.0,75.0,6.311e-11,5.749e-11,6.03e-11,25.0,1
1218,2.0,2.0,3.0,2.0,2.0,6.0,2.0,2.0,1.0,1.0,6.0,6.0,22.0,22.0,79.0,79.0,6.317e-11,5.759e-11,6.038e-11,25.0,1
1219,2.0,2.0,3.0,2.0,2.0,6.0,2.0,2.0,1.0,1.0,6.0,6.0,24.0,24.0,71.0,71.0,6.322e-11,5.75e-11,6.036e-11,25.0,1
1220,2.0,2.0,3.0,2.0,2.0,6.0,2.0,2.0,1.0,1.0,6.0,6.0,24.0,24.0,75.0,75.0,6.324e-11,5.756e-11,6.04e-11,25.0,1
1221,2.0,2.0,3.0,2.0,2.0,6.0,2.0,2.0,1.0,1.0,6.0,6.0,24.0,24.0,79.0,79.0,6.328e-11,5.764e-11,6.046e-11,25.0,1
1222,2.0,2.0,3.0,2.0,2.0,6.0,2.0,2.0,1.0,1.0,6.0,6.0,26.0,26.0,71.0,71.0,6.34e-11,5.763e-11,6.052e-11,25.0,1
1223,2.0,2.0,3.0,2.0,2.0,6.0,2.0,2.0,1.0,1.0,6.0,6.0,26.0,26.0,75.0,75.0,6.341e-11,5.769e-11,6.055e-11,25.0,1
1224,2.0,2.0,3.0,2.0,2.0,6.0,2.0,2.0,1.0,1.0,6.0,6.0,26.0,26.0,79.0,79.0,6.345e-11,5.775e-11,6.06e-11,25.0,1
1225,2.0,2.0,3.0,2.0,2.0,6.0,2.0,2.0,1.0,1.0,7.0,7.0,22.0,22.0,71.0,71.0,6.352e-11,5.808e-11,6.08e-11,25.0,1
1226,2.0,2.0,3.0,2.0,2.0,6.0,2.0,2.0,1.0,1.0,7.0,7.0,22.0,22.0,75.0,75.0,6.355e-11,5.815e-11,6.085e-11,25.0,1
1227,2.0,2.0,3.0,2.0,2.0,6.0,2.0,2.0,1.0,1.0,7.0,7.0,22.0,22.0,79.0,79.0,6.36e-11,5.824e-11,6.092e-11,25.0,1
1228,2.0,2.0,3.0,2.0,2.0,6.0,2.0,2.0,1.0,1.0,7.0,7.0,24.0,24.0,71.0,71.0,6.361e-11,5.812e-11,6.086e-11,25.0,1
1229,2.0,2.0,3.0,2.0,2.0,6.0,2.0,2.0,1.0,1.0,7.0,7.0,24.0,24.0,75.0,75.0,6.363e-11,5.817e-11,6.09e-11,25.0,1
1230,2.0,2.0,3.0,2.0,2.0,6.0,2.0,2.0,1.0,1.0,7.0,7.0,24.0,24.0,79.0,79.0,6.366e-11,5.825e-11,6.096e-11,25.0,1
1231,2.0,2.0,3.0,2.0,2.0,6.0,2.0,2.0,1.0,1.0,7.0,7.0,26.0,26.0,71.0,71.0,6.374e-11,5.82e-11,6.097e-11,25.0,1
1232,2.0,2.0,3.0,2.0,2.0,6.0,2.0,2.0,1.0,1.0,7.0,7.0,26.0,26.0,75.0,75.0,6.375e-11,5.825e-11,6.1e-11,25.0,1
1233,2.0,2.0,3.0,2.0,2.0,6.0,2.0,2.0,1.0,1.0,7.0,7.0,26.0,26.0,79.0,79.0,6.377e-11,5.831e-11,6.104e-11,25.0,1
1234,2.0,2.0,3.0,2.0,2.0,6.0,2.0,2.0,1.0,1.0,8.0,8.0,22.0,22.0,71.0,71.0,6.414e-11,5.89e-11,6.152e-11,25.0,1
1235,2.0,2.0,3.0,2.0,2.0,6.0,2.0,2.0,1.0,1.0,8.0,8.0,22.0,22.0,75.0,75.0,6.417e-11,5.897e-11,6.157e-11,25.0,1
