index,sn_xinvpa0,sp_xinvpa0,sn_nand2,sp_nand2,sn_nor3,sp_nor3,sn_buffer_0,sp_buffer_0,sn_buffer_1,sp_buffer_1,sn_buffer_2,sp_buffer_2,tplh,tphl,tp,temper,alter#
94,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,9.0,9.0,55.0,55.0,5.806e-11,5.305e-11,5.555e-11,25.0,1
95,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,9.0,9.0,57.0,57.0,5.818e-11,5.32e-11,5.569e-11,25.0,1
96,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,11.0,11.0,49.0,49.0,5.92e-11,5.369e-11,5.644e-11,25.0,1
97,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,11.0,11.0,51.0,51.0,5.925e-11,5.378e-11,5.651e-11,25.0,1
98,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,11.0,11.0,53.0,53.0,5.929e-11,5.389e-11,5.659e-11,25.0,1
99,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,11.0,11.0,55.0,55.0,5.937e-11,5.399e-11,5.668e-11,25.0,1
100,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,11.0,11.0,57.0,57.0,5.945e-11,5.411e-11,5.678e-11,25.0,1
101,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,13.0,13.0,49.0,49.0,6.1e-11,5.515e-11,5.807e-11,25.0,1
102,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,13.0,13.0,51.0,51.0,6.101e-11,5.52e-11,5.81e-11,25.0,1
103,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,13.0,13.0,53.0,53.0,6.103e-11,5.527e-11,5.815e-11,25.0,1
104,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,13.0,13.0,55.0,55.0,6.107e-11,5.535e-11,5.821e-11,25.0,1
105,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,13.0,13.0,57.0,57.0,6.112e-11,5.544e-11,5.828e-11,25.0,1
