index,sn_xinvpa0,sp_xinvpa0,sn_nand2,sp_nand2,sn_nor3,sp_nor3,sn_buffer_0,sp_buffer_0,sn_buffer_1,sp_buffer_1,sn_buffer_2,sp_buffer_2,sn_buffer_3,sp_buffer_3,tplh,tphl,tp,temper,alter#
70,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,5.0,5.0,17.0,17.0,71.0,71.0,4.729e-11,5.639e-11,5.184e-11,25.0,1
71,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,5.0,5.0,19.0,19.0,63.0,63.0,4.722e-11,5.612e-11,5.167e-11,25.0,1
72,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,5.0,5.0,19.0,19.0,65.0,65.0,4.723e-11,5.615e-11,5.169e-11,25.0,1
73,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,5.0,5.0,19.0,19.0,67.0,67.0,4.725e-11,5.62e-11,5.172e-11,25.0,1
74,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,5.0,5.0,19.0,19.0,69.0,69.0,4.727e-11,5.625e-11,5.176e-11,25.0,1
75,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,5.0,5.0,19.0,19.0,71.0,71.0,4.73e-11,5.63e-11,5.18e-11,25.0,1
76,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,6.0,6.0,15.0,15.0,63.0,63.0,4.718e-11,5.637e-11,5.177e-11,25.0,1
77,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,6.0,6.0,15.0,15.0,65.0,65.0,4.721e-11,5.644e-11,5.182e-11,25.0,1
78,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,6.0,6.0,15.0,15.0,67.0,67.0,4.725e-11,5.651e-11,5.188e-11,25.0,1
79,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,6.0,6.0,15.0,15.0,69.0,69.0,4.73e-11,5.658e-11,5.194e-11,25.0,1
80,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,6.0,6.0,15.0,15.0,71.0,71.0,4.735e-11,5.667e-11,5.201e-11,25.0,1
81,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,6.0,6.0,17.0,17.0,63.0,63.0,4.704e-11,5.613e-11,5.159e-11,25.0,1
82,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,6.0,6.0,17.0,17.0,65.0,65.0,4.706e-11,5.618e-11,5.162e-11,25.0,1
83,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,6.0,6.0,17.0,17.0,67.0,67.0,4.708e-11,5.624e-11,5.166e-11,25.0,1
84,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,6.0,6.0,17.0,17.0,69.0,69.0,4.712e-11,5.63e-11,5.171e-11,25.0,1
